id,fiscal_year,function_,program,department,Type,Type_Detail,approved_amount,fund_type,exFund,ExpenseType,ObjectId
929,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,7160,Special Revenue ,,Expenditures,17315
930,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,1000,Special Revenue ,,Expenditures,17316
931,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,6400,Special Revenue ,,Expenditures,17317
932,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,10000,Special Revenue ,,Expenditures,17318
933,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,1500,Special Revenue ,,Expenditures,17319
934,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,200,Special Revenue ,,Expenditures,17320
935,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,500,Special Revenue ,,Expenditures,17321
936,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Community Events - Perishables,100,Special Revenue ,,Expenditures,17322
937,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,5000,Special Revenue ,,Expenditures,17323
938,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,1000,Special Revenue ,,Expenditures,17324
939,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Leagues & Tournaments,5000,Special Revenue ,,Expenditures,17325
940,2021,Welfare,,Parks and Recreation,Miscellaneous,Internal Charges,4000,Special Revenue ,,Expenditures,17438
941,2021,Welfare,,Parks and Recreation,General Supplies,Special Department Supplies,35500,Special Revenue ,,Expenditures,17476
942,2021,Welfare,,Parks and Recreation,General Supplies,Groceries,34500,Special Revenue ,,Expenditures,17481
943,2021,Welfare,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,10000,Special Revenue ,,Expenditures,17485
944,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,5000,Special Revenue ,,Expenditures,17489
945,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Meals & Entertainment,2000,Special Revenue ,,Expenditures,17493
946,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,10000,Special Revenue ,,Expenditures,17521
947,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,2300,Special Revenue ,,Expenditures,17523
948,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,300,Special Revenue ,,Expenditures,17526
949,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,1000,Special Revenue ,,Expenditures,17529
950,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,524481,Special Revenue ,,Expenditures,17532
951,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-15734,Special Revenue ,,Expenditures,17535
952,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,128377,Special Revenue ,,Expenditures,17538
953,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,140,Special Revenue ,,Expenditures,17541
954,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,153411,Special Revenue ,,Expenditures,17544
955,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,9468,Special Revenue ,,Expenditures,17547
956,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,7959,Special Revenue ,,Expenditures,17550
957,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,180893,Special Revenue ,,Expenditures,17551
958,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-5292,Special Revenue ,,Expenditures,17552
959,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-4831,Special Revenue ,,Expenditures,17553
960,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,500,Special Revenue ,,Expenditures,17554
961,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,6000,Special Revenue ,,Expenditures,17555
962,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Sports Officials,3500,Special Revenue ,,Expenditures,17556
963,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,2500,Special Revenue ,,Expenditures,17557
964,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,100,Special Revenue ,,Expenditures,17558
965,2021,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,851340,Special Revenue ,,Expenditures,17559
966,2021,Culture and Recreation,,Parks and Recreation,Utilities,Waste Removal,2500,Special Revenue ,,Expenditures,17560
967,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,1000,Special Revenue ,,Expenditures,17561
968,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,5500,Special Revenue ,,Expenditures,17562
969,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,2500,Special Revenue ,,Expenditures,17563
970,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,872,Special Revenue ,,Expenditures,17564
971,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,300,Special Revenue ,,Expenditures,17565
972,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,100,Special Revenue ,,Expenditures,17566
973,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,82798,Special Revenue ,,Expenditures,17669
974,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-2484,Special Revenue ,,Expenditures,17678
975,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,18,Special Revenue ,,Expenditures,17685
976,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,24219,Special Revenue ,,Expenditures,17732
977,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,1201,Special Revenue ,,Expenditures,17737
978,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,22050,Special Revenue ,,Expenditures,17741
979,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-662,Special Revenue ,,Expenditures,17747
980,2021,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-763,Special Revenue ,,Expenditures,17753
981,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Park Rentals,193071,General,,Revenue,19201
982,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,500,General,,Revenue,19202
983,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Cash Over Or Short,-20,General,,Revenue,19203
984,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,1770,General,,Revenue,19204
985,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Fund Raising Events,3180,General,,Revenue,19205
986,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,20,General,,Revenue,19207
987,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,110000,General,,Revenue,19208
988,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Memberships,132000,General,,Revenue,19209
989,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,POS Sales,37300,General,,Revenue,19211
990,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,10000,General,,Revenue,19213
991,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,1300,General,,Revenue,19215
992,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Fund Raising Events,500,General,,Revenue,19217
993,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,92900,General,,Revenue,19219
994,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Other Miscellaneous,250000,General,,Revenue,19221
995,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Charges For Labor/Material,1700,General,,Revenue,19223
996,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Miscellaneous Rentals,227950,General,,Revenue,19225
997,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Insurance Reimbursement,4660,General,,Revenue,19227
998,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,25645,General,,Revenue,19229
999,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Rebates & Refunds,25000,General,,Revenue,19231
1000,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Other Reimbursements,11011,General,,Revenue,19233
1001,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,3100,General,,Revenue,19522
1002,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-9400,General,,Revenue,19523
1003,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-829000,General,,Revenue,19524
1004,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Park Rentals,14040,General,,Revenue,19525
1005,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,28300,General,,Revenue,19526
1006,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Swimming Pool Fees,285000,General,,Revenue,19527
1007,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,1809000,General,,Revenue,19528
1008,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-400,General,,Revenue,19529
1009,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Memberships,1191087,General,,Revenue,19530
1010,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,POS Sales,3400,General,,Revenue,19531
1011,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-655234,General,,Revenue,19532
1012,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Miscellaneous Fees,100300,General,,Revenue,19533
1013,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Miscellaneous Rentals,193142,General,,Revenue,19534
1014,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,322337,General,,Revenue,19535
1015,2021,Welfare,,Parks and Recreation,Appropriated Fund Balance,Appropriated Fund Balance,82480,Special Revenue,,Revenue,19558
1016,2021,Economic Development and Assistance,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,132991,Special Revenue ,,Revenue,19624
1017,2021,Economic Development and Assistance,,Parks and Recreation,Miscellaneous Revenue,Donations,25000,Special Revenue ,,Revenue,19746
1018,2021,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,40000,Special Revenue ,,Revenue,19750
1019,2021,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,State Grants,15000,Special Revenue ,,Revenue,19756
1020,2021,Culture and Recreation,,Parks and Recreation,Interest Earnings,Interest On Investments,22000,Special Revenue ,,Revenue,19757
1021,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,80000,Special Revenue ,,Revenue,19758
1022,2021,Welfare,,Parks and Recreation,Miscellaneous Revenue,Donations,1520,Special Revenue ,,Revenue,19775
1023,2021,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,100000,Special Revenue ,,Revenue,19776
1024,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-1800,Special Revenue ,,Revenue,19777
1025,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,7500,Special Revenue ,,Revenue,19778
1026,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,70000,Special Revenue ,,Revenue,19779
1027,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-157500,Special Revenue ,,Revenue,19780
1028,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,8400,Special Revenue ,,Revenue,19781
1029,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Field Fees Revenue,2016592,Special Revenue ,,Revenue,19782
1030,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Light Fee Revenue,455000,Special Revenue ,,Revenue,19783
1031,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,144400,Special Revenue ,,Revenue,19784
1032,2021,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-2496,Special Revenue ,,Revenue,19785
1033,2021,Culture and Recreation,,Parks and Recreation,Taxes,Residential Park Construction Tax,1000000,Capital Projects,,Revenue,19922
